




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (150)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
positive regulation of Schwann cell proliferation (GO:0010625)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of Schwann cell proliferation (GO:0010624)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
programmed cell death involved in cell development (GO:0010623)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
inferior colliculus development (GO:0061379)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
corpora quadrigemina development (GO:0061378)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of transcription by transcription factor localization (GO:0010621)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
G2/MI transition of meiotic cell cycle (GO:0008315)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mammillothalamic axonal tract development (GO:0061374)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mammillary axonal complex development (GO:0061373)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
testosterone biosynthetic process (GO:0061370)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of cardiac muscle adaptation (GO:0010616)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of cardiac muscle adaptation (GO:0010615)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cardiac muscle hypertrophy (GO:0010614)	26	0	.19	-	 < 0.01	1.00E00	1.00E00
positive regulation of cardiac muscle hypertrophy (GO:0010613)	28	0	.20	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac muscle adaptation (GO:0010612)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of testicular blood vessel morphogenesis (GO:0061369)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac muscle hypertrophy (GO:0010611)	54	0	.39	-	 < 0.01	1.00E00	1.00E00
tarsal gland development (GO:1903699)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
behavioral response to formalin induced pain (GO:0061368)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of mRNA stability involved in response to stress (GO:0010610)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of microvillus assembly (GO:1903697)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
behavioral response to chemical pain (GO:0061366)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of triglyceride lipase activity (GO:0061365)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
apoptotic process involved in luteolysis (GO:0061364)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
isoprenoid catabolic process (GO:0008300)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of wound healing, spreading of epidermal cells (GO:1903691)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
optic chiasma development (GO:0061360)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of wound healing, spreading of epidermal cells (GO:1903690)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
mRNA localization resulting in posttranscriptional regulation of gene expression (GO:0010609)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of cytoplasmic mRNA processing body assembly (GO:0010607)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of cytoplasmic mRNA processing body assembly (GO:0010606)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of cytoplasmic mRNA processing body assembly (GO:0010603)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
axonal transport of mitochondrion (GO:0019896)	15	0	.11	-	 < 0.01	1.00E00	1.00E00
negative regulation of Wnt protein secretion (GO:0061358)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of wound healing, spreading of epidermal cells (GO:1903689)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of Wnt protein secretion (GO:0061357)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of Wnt protein secretion (GO:0061356)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Wnt protein secretion (GO:0061355)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
planar cell polarity pathway involved in pericardium morphogenesis (GO:0061354)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
planar cell polarity pathway involved in cardiac muscle tissue morphogenesis (GO:0061350)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
planar cell polarity pathway involved in cardiac right atrium morphogenesis (GO:0061349)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of cap-independent translational initiation (GO:1903679)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
planar cell polarity pathway involved in ventricular septum morphogenesis (GO:0061348)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
antigen processing and presentation of endogenous peptide antigen via MHC class I (GO:0019885)	17	0	.12	-	 < 0.01	1.00E00	1.00E00
planar cell polarity pathway involved in outflow tract morphogenesis (GO:0061347)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cap-independent translational initiation (GO:1903677)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
planar cell polarity pathway involved in heart morphogenesis (GO:0061346)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
antigen processing and presentation of endogenous antigen (GO:0019883)	26	0	.19	-	 < 0.01	1.00E00	1.00E00
positive regulation of cap-dependent translational initiation (GO:1903676)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cell adhesion involved in heart morphogenesis (GO:0061343)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of cap-dependent translational initiation (GO:1903674)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitotic cleavage furrow formation (GO:1903673)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of sprouting angiogenesis (GO:1903672)	21	0	.15	-	 < 0.01	1.00E00	1.00E00
non-canonical Wnt signaling pathway involved in heart development (GO:0061341)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of sprouting angiogenesis (GO:1903671)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of sprouting angiogenesis (GO:1903670)	37	0	.27	-	 < 0.01	1.00E00	1.00E00
lysine biosynthetic process via aminoadipic acid (GO:0019878)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
behavioral response to nicotine (GO:0035095)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
response to nicotine (GO:0035094)	46	0	.34	-	 < 0.01	1.00E00	1.00E00
spermatogenesis, exchange of chromosomal proteins (GO:0035093)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
sperm chromatin condensation (GO:0035092)	13	0	.09	-	 < 0.01	1.00E00	1.00E00
maintenance of apical/basal cell polarity (GO:0035090)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of complement-dependent cytotoxicity (GO:1903661)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of complement-dependent cytotoxicity (GO:1903660)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
siRNA loading onto RISC involved in RNA interference (GO:0035087)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of complement-dependent cytotoxicity (GO:1903659)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
cell proliferation involved in outflow tract morphogenesis (GO:0061325)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
canonical Wnt signaling pathway involved in positive regulation of cardiac outflow tract cell proliferation (GO:0061324)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cell proliferation involved in heart morphogenesis (GO:0061323)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
uracil metabolic process (GO:0019860)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of cytoplasmic transport (GO:1903651)	13	0	.09	-	 < 0.01	1.00E00	1.00E00
negative regulation of cytoplasmic transport (GO:1903650)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
thymine metabolic process (GO:0019859)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
cytosine metabolic process (GO:0019858)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
5-methylcytosine metabolic process (GO:0019857)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
renal filtration cell differentiation (GO:0061318)	19	0	.14	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleobase biosynthetic process (GO:0019856)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of cytoplasmic transport (GO:1903649)	29	0	.21	-	 < 0.01	1.00E00	1.00E00
canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment (GO:0061317)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
canonical Wnt signaling pathway involved in heart development (GO:0061316)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
L-ascorbic acid biosynthetic process (GO:0019853)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of chaperone-mediated protein folding (GO:1903646)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
L-ascorbic acid metabolic process (GO:0019852)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
Notch signaling involved in heart development (GO:0061314)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of chaperone-mediated protein folding (GO:1903645)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of chaperone-mediated protein folding (GO:1903644)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
BMP signaling pathway involved in heart development (GO:0061312)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
cell surface receptor signaling pathway involved in heart development (GO:0061311)	23	0	.17	-	 < 0.01	1.00E00	1.00E00
negative regulation of gastrin-induced gastric acid secretion (GO:1903640)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of histone acetylation (GO:0035067)	16	0	.12	-	 < 0.01	1.00E00	1.00E00
positive regulation of histone acetylation (GO:0035066)	31	0	.23	-	 < 0.01	1.00E00	1.00E00
regulation of histone acetylation (GO:0035065)	56	0	.41	-	 < 0.01	1.00E00	1.00E00
cardiac neural crest cell development involved in outflow tract morphogenesis (GO:0061309)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of gastrin-induced gastric acid secretion (GO:1903639)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cardiac neural crest cell development involved in heart development (GO:0061308)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
nuclear speck organization (GO:0035063)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cardiac neural crest cell differentiation involved in heart development (GO:0061307)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein insertion into mitochondrial outer membrane (GO:1903638)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of protein insertion into mitochondrial outer membrane (GO:1903636)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
retinal blood vessel morphogenesis (GO:0061304)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
cornea development in camera-type eye (GO:0061303)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of leucine-tRNA ligase activity (GO:1903634)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of leucine-tRNA ligase activity (GO:1903633)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
smooth muscle cell-matrix adhesion (GO:0061302)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of aminoacyl-tRNA ligase activity (GO:1903632)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cerebellum vasculature morphogenesis (GO:0061301)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cerebellum vasculature development (GO:0061300)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of aminoacyl-tRNA ligase activity (GO:1903631)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of aminoacyl-tRNA ligase activity (GO:1903630)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of dUTP diphosphatase activity (GO:1903629)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
embryonic heart tube anterior/posterior pattern specification (GO:0035054)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
cytolysis (GO:0019835)	34	0	.25	-	 < 0.01	1.00E00	1.00E00
regulation of dUTP diphosphatase activity (GO:1903627)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cardiocyte differentiation (GO:0035051)	107	0	.78	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA catabolic process (GO:1903626)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of DNA catabolic process (GO:1903625)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of DNA catabolic process (GO:1903624)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
protein localization to photoreceptor connecting cilium (GO:1903621)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of transdifferentiation (GO:1903620)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
stem cell population maintenance (GO:0019827)	118	0	.86	-	 < 0.01	1.00E00	1.00E00
regulation of transdifferentiation (GO:1903618)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fertilization, exchange of chromosomal proteins (GO:0035042)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sperm chromatin decondensation (GO:0035041)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein tyrosine phosphatase activity (GO:1903615)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein tyrosine phosphatase activity (GO:1903614)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of protein tyrosine phosphatase activity (GO:1903613)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of calcium-dependent ATPase activity (GO:1903612)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of calcium-dependent ATPase activity (GO:1903611)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of calcium-dependent ATPase activity (GO:1903610)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
male pronucleus assembly (GO:0035039)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
female pronucleus assembly (GO:0035038)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
sperm entry (GO:0035037)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sperm-egg recognition (GO:0035036)	61	0	.44	-	 < 0.01	1.00E00	1.00E00
negative regulation of inward rectifier potassium channel activity (GO:1903609)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein localization to cytoplasmic stress granule (GO:1903608)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
leading edge cell differentiation (GO:0035026)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of Rho protein signal transduction (GO:0035025)	34	0	.25	-	 < 0.01	1.00E00	1.00E00
quinolinate biosynthetic process (GO:0019805)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of Rac protein signal transduction (GO:0035022)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of Rac protein signal transduction (GO:0035021)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
peptide cross-linking via chondroitin 4-sulfate glycosaminoglycan (GO:0019800)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
neural plate regionalization (GO:0060897)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
neural plate pattern specification (GO:0060896)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
somatic stem cell population maintenance (GO:0035019)	52	0	.38	-	 < 0.01	1.00E00	1.00E00
limb epidermis development (GO:0060887)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neuronal signal transduction (GO:0023041)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
semicircular canal fusion (GO:0060879)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CD40 signaling pathway (GO:0023035)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
semicircular canal formation (GO:0060876)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
lateral semicircular canal development (GO:0060875)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
anterior semicircular canal development (GO:0060873)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
semicircular canal development (GO:0060872)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of centriole replication (GO:0046599)	21	0	.15	-	 < 0.01	1.00E00	1.00E00
positive regulation of viral entry into host cell (GO:0046598)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
negative regulation of viral entry into host cell (GO:0046597)	23	0	.17	-	 < 0.01	1.00E00	1.00E00
regulation of viral entry into host cell (GO:0046596)	44	0	.32	-	 < 0.01	1.00E00	1.00E00
termination of signal transduction (GO:0023021)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of calcium-dependent cell-cell adhesion (GO:0046588)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of calcium-dependent cell-cell adhesion (GO:0046587)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of calcium-dependent cell-cell adhesion (GO:0046586)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
establishment of glial blood-brain barrier (GO:0060857)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
establishment of blood-brain barrier (GO:0060856)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
branching involved in lymph vessel morphogenesis (GO:0060854)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Notch signaling pathway involved in arterial endothelial cell fate commitment (GO:0060853)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chondrocyte development involved in endochondral bone morphogenesis (GO:0003433)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of Ras protein signal transduction (GO:0046579)	77	0	.56	-	 < 0.01	1.00E00	1.00E00
growth plate cartilage chondrocyte development (GO:0003431)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
growth plate cartilage chondrocyte growth (GO:0003430)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
endothelial cell fate specification (GO:0060847)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
blood vessel endothelial cell fate commitment (GO:0060846)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
arterial endothelial cell fate commitment (GO:0060844)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
venous endothelial cell differentiation (GO:0060843)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
arterial endothelial cell differentiation (GO:0060842)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
venous blood vessel development (GO:0060841)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
growth plate cartilage chondrocyte morphogenesis (GO:0003429)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
growth plate cartilage morphogenesis (GO:0003422)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
growth plate cartilage axis specification (GO:0003421)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of growth plate cartilage chondrocyte proliferation (GO:0003420)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endothelial cell fate commitment (GO:0060839)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
lymphatic endothelial cell fate commitment (GO:0060838)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
blood vessel endothelial cell differentiation (GO:0060837)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
lymphatic endothelial cell differentiation (GO:0060836)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
smoothened signaling pathway involved in dorsal/ventral neural tube patterning (GO:0060831)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
ciliary receptor clustering involved in smoothened signaling pathway (GO:0060830)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
growth plate cartilage chondrocyte proliferation (GO:0003419)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
growth plate cartilage chondrocyte differentiation (GO:0003418)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
growth plate cartilage development (GO:0003417)	17	0	.12	-	 < 0.01	1.00E00	1.00E00
endochondral bone growth (GO:0003416)	25	0	.18	-	 < 0.01	1.00E00	1.00E00
chondrocyte hypertrophy (GO:0003415)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
chondrocyte morphogenesis involved in endochondral bone morphogenesis (GO:0003414)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chondrocyte differentiation involved in endochondral bone morphogenesis (GO:0003413)	15	0	.11	-	 < 0.01	1.00E00	1.00E00
establishment of epithelial cell apical/basal polarity involved in camera-type eye morphogenesis (GO:0003412)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
photoreceptor cell fate commitment (GO:0046552)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hydroxyproline transport (GO:0034589)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
halogenated hydrocarbon metabolic process (GO:0042197)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
piRNA metabolic process (GO:0034587)	18	0	.13	-	 < 0.01	1.00E00	1.00E00
chlorinated hydrocarbon metabolic process (GO:0042196)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of canonical Wnt signaling pathway involved in neural plate anterior/posterior pattern formation (GO:0060829)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of canonical Wnt signaling pathway involved in neural plate anterior/posterior pattern formation (GO:0060827)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fibroblast growth factor receptor signaling pathway involved in neural plate anterior/posterior pattern formation (GO:0060825)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
inactivation of X chromosome by DNA methylation (GO:0060821)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
optic cup structural organization (GO:0003409)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
inactivation of X chromosome by heterochromatin assembly (GO:0060820)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
optic cup formation involved in camera-type eye development (GO:0003408)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
neural retina development (GO:0003407)	68	0	.50	-	 < 0.01	1.00E00	1.00E00
retinal pigment epithelium development (GO:0003406)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
optic vesicle morphogenesis (GO:0003404)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
planar cell polarity pathway involved in axis elongation (GO:0003402)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
retinal cone cell development (GO:0046549)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
axis elongation (GO:0003401)	26	0	.19	-	 < 0.01	1.00E00	1.00E00
regulation of protein O-linked glycosylation (GO:1904098)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
retinal rod cell development (GO:0046548)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of COPII vesicle coating (GO:0003400)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of autophagic cell death (GO:1904093)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
development of secondary male sexual characteristics (GO:0046544)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of autophagic cell death (GO:1904092)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
development of secondary female sexual characteristics (GO:0046543)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
saliva secretion (GO:0046541)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of nucleus size (GO:0097298)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:0097296)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
inactivation of X chromosome by genetic imprinting (GO:0060819)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
renal phosphate ion absorption (GO:0097291)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
inactivation of paternal X chromosome (GO:0060817)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ketone catabolic process (GO:0042182)	16	0	.12	-	 < 0.01	1.00E00	1.00E00
random inactivation of X chromosome (GO:0060816)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of photoreceptor cell differentiation (GO:0046533)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of photoreceptor cell differentiation (GO:0046532)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
photoreceptor cell differentiation (GO:0046530)	60	0	.44	-	 < 0.01	1.00E00	1.00E00
xenobiotic catabolic process (GO:0042178)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
mesodermal to mesenchymal transition involved in gastrulation (GO:0060809)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
immune complex formation (GO:0097281)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell differentiation involved in embryonic placenta development (GO:0060806)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of Wnt signaling pathway by BMP signaling pathway (GO:0060804)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
BMP signaling pathway involved in mesodermal cell fate specification (GO:0060803)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
epiblast cell-extraembryonic ectoderm cell signaling involved in anterior/posterior axis specification (GO:0060802)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cell differentiation involved in embryonic placenta development (GO:0060800)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of trophectodermal cell proliferation (GO:1904075)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of trophectodermal cell proliferation (GO:1904073)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
presynaptic active zone assembly (GO:1904071)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
sphingoid catabolic process (GO:0046521)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
complement-dependent cytotoxicity (GO:0097278)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
sphingoid biosynthetic process (GO:0046520)	13	0	.09	-	 < 0.01	1.00E00	1.00E00
cellular urea homeostasis (GO:0097277)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular creatinine homeostasis (GO:0097276)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
heme catabolic process (GO:0042167)	16	0	.12	-	 < 0.01	1.00E00	1.00E00
cellular ammonium homeostasis (GO:0097275)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
urea homeostasis (GO:0097274)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
creatinine homeostasis (GO:0097273)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
ammonium homeostasis (GO:0097272)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial respiratory chain complex II assembly (GO:0034553)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
respiratory chain complex II assembly (GO:0034552)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
mitochondrial respiratory chain complex III assembly (GO:0034551)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
collagen fibril organization (GO:0030199)	103	0	.75	-	 < 0.01	1.00E00	1.00E00
extracellular matrix organization (GO:0030198)	383	0	2.79	-	 < 0.01	1.20E-01	1.00E00
negative regulation of blood coagulation (GO:0030195)	52	0	.38	-	 < 0.01	1.00E00	1.00E00
positive regulation of blood coagulation (GO:0030194)	23	0	.17	-	 < 0.01	1.00E00	1.00E00
regulation of blood coagulation (GO:0030193)	70	0	.51	-	 < 0.01	1.00E00	1.00E00
sphingoid metabolic process (GO:0046519)	21	0	.15	-	 < 0.01	1.00E00	1.00E00
ceramide biosynthetic process (GO:0046513)	54	0	.39	-	 < 0.01	1.00E00	1.00E00
sphingosine biosynthetic process (GO:0046512)	13	0	.09	-	 < 0.01	1.00E00	1.00E00
sphinganine biosynthetic process (GO:0046511)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lipoprotein catabolic process (GO:0042159)	15	0	.11	-	 < 0.01	1.00E00	1.00E00
